City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
172,Asau,RO,46.4333,26.4,27.52,89,93,6.11,overcast clouds
173,Penzance,GB,50.9188,-1.4904,50.07,79,75,1.99,broken clouds
174,Bandarbeyla,SO,9.4942,50.8122,75.47,72,27,18.7,scattered clouds
175,Zambezi,ZM,-13.5432,23.1047,68.16,80,100,1.7,overcast clouds
176,Beitbridge,ZW,-22.2167,30.0,82.76,46,3,8.52,clear sky
177,Pokhara,NP,28.2333,83.9833,52.29,72,96,2.21,overcast clouds
178,Lata,PT,40.1629,-8.3327,52.05,69,91,0.27,overcast clouds
179,Iberia,PE,-5.0892,-81.1144,84.76,65,5,16.2,clear sky
180,Pangnirtung,CA,70.4692,-68.5914,-18.17,69,100,5.75,light snow
181,Mabopane,ZA,-34.5322,20.0403,70.92,68,46,8.05,scattered clouds
182,Puerto Ayora,EC,-0.7393,-90.3518,84.16,88,45,8.01,scattered clouds
183,Tasiilaq,GL,69.2167,-51.1,1.42,60,20,29.93,few clouds
184,Yamoussoukro,CI,6.8206,-5.2767,82.29,30,6,6.91,haze
185,Vila Velha,BR,-8.2578,-49.2647,85.3,67,16,5.64,moderate rain
186,Coihaique,CL,-53.15,-70.9167,51.82,87,75,10.36,light rain
187,Codrington,AU,-38.2667,141.9667,59.25,56,73,16.53,broken clouds
188,Saint-Georges,GF,5.3833,-52.95,80.46,76,37,11.56,moderate rain
189,Cherskiy,RU,71.6872,128.8694,-5.08,99,100,6.42,overcast clouds
190,Kargat,RU,71.6872,128.8694,-5.08,99,100,6.42,overcast clouds
191,Yanchukan,RU,71.6872,128.8694,-5.08,99,100,6.42,overcast clouds
192,Noyabrsk,RU,71.6872,128.8694,-5.08,99,100,6.42,overcast clouds
193,Constitucion,MX,22.8909,-109.9124,78.62,44,20,3.0,few clouds
194,Ixtapa,MX,22.8909,-109.9124,78.62,44,20,3.0,few clouds
195,Novaya Zaimka,RU,71.6872,128.8694,-5.08,99,100,6.42,overcast clouds
196,Bolshiye Uki,RU,71.6872,128.8694,-5.08,99,100,6.42,overcast clouds
197,Gigmoto,PH,13.7796,124.39,76.96,89,100,13.4,overcast clouds
198,Elie,GB,50.9188,-1.4904,50.07,79,75,1.99,broken clouds
199,Totness,SR,5.8833,-56.3167,81.63,63,9,10.49,clear sky
200,Rio Grande,BR,-8.2578,-49.2647,85.3,67,16,5.64,moderate rain
201,Barentsburg,SJ,78.2186,15.6401,17.44,67,87,14.97,overcast clouds
202,East London,ZA,-34.5322,20.0403,70.92,68,46,8.05,scattered clouds
203,Owando,CG,-0.4819,15.8999,79.54,59,100,3.31,overcast clouds
204,Penhold,CA,70.4692,-68.5914,-18.17,69,100,5.75,light snow
205,Dunedin,NZ,-46.2817,169.8464,55.85,95,100,6.78,light rain
206,Aksu,CN,38.9342,100.4517,22.21,36,70,9.1,broken clouds
207,Rincon,US,32.296,-81.2354,69.98,67,100,1.99,overcast clouds
208,Necocli,CO,8.4234,-76.786,89.71,69,67,8.39,broken clouds
209,Leshukonskoye,RU,71.6872,128.8694,-5.08,99,100,6.42,overcast clouds
210,Ponta Do Sol,PT,32.6667,-17.1,67.71,79,100,3.89,overcast clouds
211,Chapais,CA,70.4692,-68.5914,-18.17,69,100,5.75,light snow
212,Hobyo,SO,9.4942,50.8122,75.47,72,27,18.7,scattered clouds
213,Pimenta Bueno,BR,-8.2578,-49.2647,85.3,67,16,5.64,moderate rain
214,Faanui,PF,-23.1203,-134.9692,77.94,74,100,5.93,overcast clouds
215,Buritis,BR,-8.2578,-49.2647,85.3,67,16,5.64,moderate rain
216,Kokkola,FI,63.8385,23.1307,10.92,88,75,4.61,broken clouds
217,San Cristobal,EC,-0.7393,-90.3518,84.16,88,45,8.01,scattered clouds
218,Saint Anthony,CA,70.4692,-68.5914,-18.17,69,100,5.75,light snow
219,Kaset Sombun,TH,9.5357,99.9357,81.43,76,57,12.8,broken clouds
220,Cockburn Town,TC,21.4612,-71.1419,73.36,83,75,13.8,broken clouds
221,Belmonte,BR,-8.2578,-49.2647,85.3,67,16,5.64,moderate rain
222,Sao Joao Da Barra,BR,-8.2578,-49.2647,85.3,67,16,5.64,moderate rain
223,Djibo,BF,14.1022,-1.6306,74.01,11,2,8.72,clear sky
224,Hofn,IS,63.4427,-20.2734,29.39,93,100,20.71,overcast clouds
225,Esperance,AU,-42.7826,147.0587,53.74,72,55,1.01,broken clouds
226,Portland,AU,-42.7826,147.0587,53.74,72,55,1.01,broken clouds
227,Pierre,US,57.0531,-135.33,37.29,93,75,4.61,mist
228,Bulgan,MN,48.8125,103.5347,-6.02,86,9,4.45,clear sky
229,Merano,IT,38.685,16.5499,48.15,73,0,13.04,clear sky
230,Saint-Philippe,RE,-21.3585,55.7679,80.19,93,100,31.65,moderate rain
231,Mingguang,CN,38.9342,100.4517,22.21,36,70,9.1,broken clouds
232,Emerald,AU,-42.7826,147.0587,53.74,72,55,1.01,broken clouds
233,Mehamn,NO,70.0311,20.9714,14.0,70,16,19.71,few clouds
234,Cayenne,GF,5.3833,-52.95,80.46,76,37,11.56,moderate rain
235,Sumbe,AO,-15.1961,12.1522,73.83,69,76,11.39,broken clouds
236,San Jose,US,37.3394,-121.895,63.16,23,20,5.01,haze
237,Itarema,BR,-8.2578,-49.2647,85.3,67,16,5.64,moderate rain
238,Trairi,BR,-8.2578,-49.2647,85.3,67,16,5.64,moderate rain
239,Piopio,NZ,-46.2817,169.8464,55.85,95,100,6.78,light rain
